cik,ticker,accession,form,filing_date,period_of_report,doc_type,exhibit_label,document,doc_url
0000773840,HON,0000773840-25-000062,8-K,2025-07-24,2025-07-24,exhibit,EX-99,exhibit99-q22025earningsre.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000062/exhibit99-q22025earningsre.htm
0000773840,HON,0000773840-25-000064,10-Q,2025-07-24,2025-06-30,primary,,hon-20250630.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000064/hon-20250630.htm
0000773840,HON,0000773840-25-000054,8-K,2025-06-24,2025-06-23,primary,,hon-20250623.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000054/hon-20250623.htm
0000773840,HON,0000773840-25-000054,8-K,2025-06-24,2025-06-23,exhibit,EX-99.2,exhibit992-amendmentno1tot.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000054/exhibit992-amendmentno1tot.htm
0000773840,HON,0001193125-25-128673,8-K,2025-05-28,2025-05-28,primary,,d923884d8k.htm,https://www.sec.gov/Archives/edgar/data/773840/000119312525128673/d923884d8k.htm
0000773840,HON,0001193125-25-128673,8-K,2025-05-28,2025-05-28,exhibit,EX-99.1,d923884dex991.htm,https://www.sec.gov/Archives/edgar/data/773840/000119312525128673/d923884dex991.htm
0000773840,HON,0000773840-25-000043,8-K,2025-05-23,2025-05-20,primary,,hon-20250520.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000043/hon-20250520.htm
0000773840,HON,0001193125-25-115181,8-K,2025-05-08,2025-05-07,primary,,d901112d8k.htm,https://www.sec.gov/Archives/edgar/data/773840/000119312525115181/d901112d8k.htm
0000773840,HON,0000773840-25-000035,8-K,2025-04-29,2025-04-29,primary,,hon-20250429.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000035/hon-20250429.htm
0000773840,HON,0000773840-25-000035,8-K,2025-04-29,2025-04-29,exhibit,EX-99,exhibit99-q12025earningsre.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000035/exhibit99-q12025earningsre.htm
0000773840,HON,0000773840-25-000037,10-Q,2025-04-29,2025-03-31,primary,,hon-20250331.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000037/hon-20250331.htm
0000773840,HON,0000773840-25-000025,8-K,2025-04-08,2025-04-07,primary,,hon-20250407.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000025/hon-20250407.htm
